,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
399,Cinderella Man,-2005,144 min,8,69,"184,398",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
400,Kal Ho Naa Ho,-2003,186 min,8,54,"67,662",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
401,Mou gaan dou,-2002,101 min,8,75,"122,967",$0.17M,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
402,Big Fish,-2003,125 min,8,58,"433,802",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
403,Yeopgijeogin geunyeo,-2001,137 min,8,N/A,"47,566",N/A,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
404,Dogville,-2003,178 min,8,60,"146,053",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
405,Vizontele,-2001,110 min,8,N/A,"36,084",N/A,"Lives of residents in a small, Anatolian village change when television is introduced to them."
406,Donnie Darko,-2001,113 min,8,88,"778,745",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
407,Magnolia,-1999,188 min,8,77,"306,152",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
408,Dancer in the Dark,-2000,140 min,8,61,"107,977",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
409,The Straight Story,-1999,112 min,8,86,"88,775",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
410,Pâfekuto burû,-1997,81 min,8,N/A,"70,358",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
411,Central do Brasil,-1998,110 min,8,80,"38,974",$5.60M,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
412,La leggenda del pianista sull'oceano,-1998,169 min,8,58,"62,954",$0.26M,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
413,"Crna macka, beli macor",-1998,127 min,8,73,"53,163",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
414,Sling Blade,-1996,135 min,8,84,"92,601",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
415,Secrets & Lies,-1996,136 min,8,91,"42,300",$13.42M,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
416,Twelve Monkeys,-1995,129 min,8,74,"605,565",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
417,Chung Hing sam lam,-1994,102 min,8,78,"76,187",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
418,The Nightmare Before Christmas,-1993,76 min,8,82,"324,808",$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
419,Scent of a Woman,-1992,156 min,8,59,"286,478",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
420,JFK,-1991,189 min,8,72,"152,371",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
421,Rain Man,-1988,133 min,8,65,"499,987",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
422,Akira,-1988,124 min,8,67,"179,477",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
423,The Princess Bride,-1987,98 min,8,77,"418,712",$30.86M,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
424,Der Himmel über Berlin,-1987,128 min,8,79,"69,517",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
425,Au revoir les enfants,-1987,104 min,8,88,"33,297",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond."
426,Tenkû no shiro Rapyuta,-1986,125 min,8,78,"161,739",N/A,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
427,Kaze no tani no Naushika,-1984,117 min,8,86,"165,161",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
428,Nostalgia,-1983,125 min,8,N/A,"26,297",$0.01M,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved."
429,A Christmas Story,-1983,93 min,8,77,"145,866",$20.61M,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
430,Pink Floyd: The Wall,-1982,95 min,8,47,"79,785",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
431,Fitzcarraldo,-1982,158 min,8,N/A,"34,208",N/A,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
432,Being There,-1979,130 min,8,83,"71,232",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
433,Annie Hall,-1977,93 min,8,92,"261,569",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
434,Dog Day Afternoon,-1975,125 min,8,86,"250,801",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
435,Zerkalo,-1975,107 min,8,80,"45,049",$0.18M,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
436,Young Frankenstein,-1974,106 min,8,80,"154,647",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
437,Papillon,-1973,151 min,8,58,"128,407",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
438,Viskningar och rop,-1972,91 min,8,N/A,"33,318",$1.74M,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
439,Solaris,-1972,167 min,8,90,"88,988",N/A,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
440,Sleuth,-1972,138 min,8,N/A,"47,134",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
441,The Last Picture Show,-1971,118 min,8,93,"47,067",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
442,Fiddler on the Roof,-1971,181 min,8,67,"42,729",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
443,Patton,-1970,172 min,8,91,"100,465",$61.70M,The World War II phase of the career of controversial American general George S. Patton.
444,Butch Cassidy and the Sundance Kid,-1969,110 min,8,66,"212,236",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
445,Rosemary's Baby,-1968,137 min,8,96,"209,058",N/A,"A young couple trying for a baby move into an aging, ornate apartment building on Central Park West, but find themselves surrounded by peculiar neighbors."
446,Planet of the Apes,-1968,112 min,8,79,"176,079",$33.40M,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
447,Le samouraï,-1967,105 min,8,N/A,"50,010",$0.04M,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
448,In the Heat of the Night,-1967,110 min,8,75,"74,447",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
